Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,,,TopLayer,75.5011,30.8974,270
C1,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,46.3000,16.5750,0
C3,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,45.5250,14.1266,270
C4,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,52.0000,14.1250,90
C6,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,44.1000,28.4250,270
C9,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,39.8500,28.4250,270
C13,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,46.3000,17.8750,180
C39,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,46.2750,31.7250,180
C51,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,27.3750,6.3000,180
C52,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,31.7500,4.4567,270
C10,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,40.1500,33.6000,0
C50,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,9.5500,4.1169,270
C11,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,40.1500,32.6000,0
C19,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,66.9750,4.4000,180
C21,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,60.0000,14.8000,0
C42,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,57.8500,14.8000,180
C12,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,45.8250,25.1000,0
C37,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,45.8250,24.1500,0
C16,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,24.5200,43.3158,180
C18,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,19.8700,39.0761,90
C20,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,21.2200,45.2158,270
C23,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,23.1450,39.0761,90
C26,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,25.9700,43.3158,0
C29,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,22.2950,39.0761,90
C32,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,20.6700,39.0761,90
C35,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,35.1500,42.6909,270
C44,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,30.7596,41.0351,0
C55,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,21.4766,39.0761,90
C72,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,17.2950,41.2658,270
C73,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,18.3950,41.5658,0
C17,4.7UF-0402-6.3V,GRM155R60J475ME47D,TopLayer,20.4200,37.8658,0
C25,4.7UF-0402-6.3V,GRM155R60J475ME47D,TopLayer,17.7200,38.3408,270
C31,4.7UF-0402-6.3V,GRM155R60J475ME47D,TopLayer,18.6450,38.3408,90
C2,100NF-0402-50V,CL05B104KB54PNC,TopLayer,46.8750,14.5750,270
C5,100NF-0402-50V,CL05B104KB54PNC,TopLayer,53.0750,14.5766,90
